,Title,URL,Author,PostDate
0, Is tech the future for Ghana’s young people? ,https://www.graphic.com.gh/tech-news/is-tech-the-future-for-ghana-s-young-people.html,Graphic.com.gh,2020-09-23T09:56:02+00:00
1, Science and technology protect life: Making digital technology a formidable force to combat epidemics ,https://www.graphic.com.gh/tech-news/science-and-technology-protect-life-making-digital-technology-a-formidable-force-to-combat-epidemics.html,Graphic.com.gh,2020-07-20T21:15:12+00:00
2, 5G’s Impact on Global GDP over $7.5 trillion ,https://www.graphic.com.gh/tech-news/5g-s-impact-on-global-gdp-over-7-5-trillion.html,Graphic.com.gh,2020-07-01T20:18:59+00:00
3, 3 hidden features on WhatsApp to help you ,https://www.graphic.com.gh/tech-news/3-hidden-features-on-whatsapp-to-help-you.html,Softronic.com,2019-11-06T11:21:27+00:00
4, Reduce time spent on phone to prevent dry eyes syndrome ,https://www.graphic.com.gh/tech-news/ghana-news-reduce-time-spent-on-phone-to-prevent-dry-eyes-syndrome.html,Lydia Ezit,2019-08-24T11:08:31+00:00
5, Technology making parenting difficult ,https://www.graphic.com.gh/tech-news/ghana-news-technology-making-parenting-difficult.html,Lydia Ezit,2019-08-24T10:57:21+00:00
6, Global Azure Bootcamp 2019 lands in Accra ,https://www.graphic.com.gh/tech-news/global-azure-bootcamp-2019-lands-in-accra.html,Francis Osabutey,2019-04-18T15:18:56+00:00
7," IBM, MTN deploy IOT technology to save Africa’s rhinos ",https://www.graphic.com.gh/tech-news/ibm-mtn-deploy-iot-technology-to-save-africa-s-rhinos.html,Graphic Business,2017-09-26T11:21:55+00:00
8, Regret a text? WhatsApp will soon let you delete it — on both sides ,https://www.graphic.com.gh/tech-news/regret-a-text-whatsapp-will-soon-let-you-delete-it-on-both-sides.html,Graphic Business,2017-09-19T09:12:54+00:00
9," Facebook moves to block ads on fake news, offensive videos ",https://www.graphic.com.gh/tech-news/facebook-moves-to-block-ads-on-fake-news-offensive-videos.html,Graphic Business,2017-09-19T09:05:29+00:00
10, Google retires Google Drive software ,https://www.graphic.com.gh/tech-news/google-retires-google-drive-software.html,ghack.com,2017-09-07T10:46:16+00:00
11, Why banks need to embrace Wi-Fi ,https://www.graphic.com.gh/tech-news/why-banks-need-to-embrace-wi-fi.html,Riaan Graham,2017-08-01T14:02:39+00:00
12, Buckle up: It saves lives ,https://www.graphic.com.gh/tech-news/buckle-up-it-saves-lives.html,Daniel Oduro-Mensah,2017-07-10T09:50:18+00:00
13, Most common reasons why a transmission slips ,https://www.graphic.com.gh/tech-news/most-common-reasons-why-a-transmission-slips.html,Eddie Carrara,2017-07-10T09:44:00+00:00
14, Innovation solving Africa’s problems ,https://www.graphic.com.gh/tech-news/innovation-solving-africa-s-problems.html,iafrica/GB,2017-06-13T09:47:12+00:00
15, Leaks 'expose peculiar Facebook moderation policy' ,https://www.graphic.com.gh/tech-news/leaks-expose-peculiar-facebook-moderation-policy.html,bbc.com,2017-05-22T15:45:37+00:00
16, Microsoft warns ransomware cyber-attack is a wake-up call ,https://www.graphic.com.gh/tech-news/microsoft-warns-ransomware-cyber-attack-is-a-wake-up-call.html,BBC,2017-05-15T09:42:15+00:00
17, Honda Pilot: balancing performance with fuel economy ,https://www.graphic.com.gh/tech-news/honda-pilot-balancing-performance-with-fuel-economy.html,Seth J. Bokpe,2017-05-08T10:56:58+00:00
18, All about the use of #hashtags on social media ,https://www.graphic.com.gh/tech-news/all-about-the-use-of-hashtags-on-social-media.html,Maximus Ametorgoh,2017-04-26T07:26:55+00:00
19, WhatsApp tests B2C tools ,https://www.graphic.com.gh/tech-news/whatsapp-tests-b2c-tools.html,MobileWorld/GB,2017-03-14T12:05:44+00:00
